iter	RMSE
230	0.2489018591
231	0.2482609696
232	0.2480378524
233	0.2477122136
234	0.2470220446
235	0.2469103543
236	0.2467129405
237	0.2465390158
238	0.2463788279
239	0.2461892539
240	0.2459056319
241	0.2457262429
242	0.2455349447
243	0.2453785876
244	0.245210888
245	0.245048176
246	0.2448886537
247	0.2442270685
248	0.2438629616
249	0.2436781723
250	0.243504834
251	0.2432648428
252	0.2431673487
253	0.2425336524
254	0.2422628568
255	0.2420706671
256	0.2418605249
257	0.2417470716
258	0.2414874944
259	0.2412914448
260	0.2411190551
261	0.2408937466
262	0.2401126888
263	0.2393997156
264	0.2392417626
265	0.2391032668
266	0.2384178634
267	0.23826052
268	0.2377136609
269	0.237137482
270	0.2370594665
271	0.2367057396
272	0.2362597176
273	0.236104212
274	0.235939661
275	0.2358379407
276	0.2357773259
277	0.2356643987
278	0.2353168538
279	0.2351751647
280	0.2344752484
281	0.2343412163
282	0.2342286754
283	0.2340984876
284	0.2339901091
285	0.2331851841
286	0.2331381645
287	0.232374117
288	0.2321060496
289	0.2319701609
290	0.2317156485
291	0.2313085244
292	0.2310260632
293	0.2302429181
294	0.2298319745
295	0.2292903854
296	0.2287608284
297	0.2286629062
298	0.2281919483
299	0.227718351
300	0.2270839603
301	0.2263724704
302	0.226272756
303	0.2261518826
304	0.226058283
305	0.2259542137
306	0.2255651947
307	0.2250007768
308	0.224916949
309	0.2243836471
310	0.2241099983
311	0.2235065778
312	0.2229516361
313	0.2226709519
314	0.222198087
315	0.2214606326
316	0.2209027643
317	0.2204370528
318	0.2203664995
319	0.2202879121
320	0.2201841406
321	0.2201099895
322	0.2196176928
323	0.2189595293
324	0.2188629447
325	0.2187907949
326	0.2181627716
327	0.2176133614
328	0.2172166268
329	0.216352622
330	0.2159448954
331	0.2151795524
332	0.2151150198
333	0.2150822312
334	0.2150014358
335	0.2149725091
336	0.2141582907
337	0.2135981954
338	0.213202232
339	0.2126122646
340	0.2121097103
341	0.2113965901
342	0.2113356184
343	0.2110419083
344	0.210825235
345	0.2103569386
346	0.2100579251
347	0.2094581685
348	0.2091496948
349	0.2087743899
350	0.2083626626
351	0.2082744036
352	0.208226163
353	0.2075704535
354	0.2073105683
355	0.2066074351
356	0.2058972051
357	0.2058526391
358	0.20542546
359	0.2051613239
360	0.2047747372
361	0.2046128903
362	0.2045711689
363	0.2041738503
364	0.2040240744
365	0.2034241217
366	0.2031284501
367	0.2024433484
368	0.2019895597
369	0.2018156655
370	0.2013243277
371	0.2008503363
372	0.2007160734
373	0.2006338213
374	0.200125019
375	0.1995102709
376	0.1993069188
377	0.198837866
378	0.1983361552
379	0.1980995966
380	0.1979484416
381	0.1977769429
382	0.1977529171
383	0.1970759933
384	0.1967963956
385	0.1963874519
386	0.1961611708
387	0.1955608591
388	0.1952034298
389	0.194531382
390	0.1941555639
391	0.1941226058
392	0.193678476
393	0.1933431744
394	0.192936472
395	0.1924828632
396	0.1920466621
397	0.1916374223
398	0.1915146378
399	0.1911417697
400	0.1905955442
401	0.1905636391
402	0.1901317986
403	0.1894661519
404	0.1893481076
405	0.1890809815
406	0.1889410124
407	0.1887431415
408	0.1883749484
409	0.187741693
410	0.1875252368
411	0.1871262795
412	0.186581024
413	0.1860997
414	0.1858141724
415	0.1857715402
416	0.1854182263
417	0.1850060896
418	0.1843762472
419	0.1838134762
420	0.1833058237
421	0.1832460776
422	0.1826467374
423	0.1826158404
424	0.1825215734
425	0.1822167606
426	0.1816314658
427	0.1813752679
428	0.1811071915
429	0.1810716702
430	0.1805271726
431	0.1799687059
432	0.1799205198
433	0.1797704304
434	0.1793819843
435	0.1792183328
436	0.1786111336
437	0.1784989343
438	0.1779698205
439	0.1775993872
440	0.1774861827
441	0.17743889
442	0.1770833969
443	0.1769780091
444	0.1766906536
445	0.1765361257
446	0.176120294
447	0.1757556368
448	0.1753995496
449	0.1750082361
450	0.1746275705
451	0.173949384
452	0.1734825275
453	0.1733903603
454	0.1729369689
455	0.1726737044
456	0.1720632021
457	0.171634367
458	0.1711058813
459	0.1706629205
460	0.1701417132
461	0.1698645992
462	0.1694164836
463	0.1691247745
464	0.1688879902
465	0.168742939
466	0.1683770332
467	0.1678130624
468	0.1677530247
469	0.1675769454
470	0.1673438436
471	0.1668435492
472	0.1664174638
473	0.1660700192
474	0.1655506001
475	0.1651469545
476	0.1647900595
477	0.1644826165
478	0.1640630137
479	0.1640053765
480	0.1636559262
481	0.1634967589
482	0.1632990876
483	0.1628079371
484	0.1624756755
485	0.1620247443
486	0.161776386
487	0.1614763999
488	0.1610146358
489	0.1605829369
490	0.1601426922
491	0.1597718028
492	0.1594535435
493	0.158971279
494	0.1585766051
495	0.1582992802
496	0.1578070257
497	0.1574273163
498	0.1571175843
499	0.1568870294
500	0.1564586184
501	0.1561963303
502	0.1560612762
503	0.1556521712
504	0.1554997336
505	0.1552173827
506	0.1548863044
507	0.1546172471
508	0.1541427297
509	0.1538712829
510	0.1534206929
511	0.1532492055
512	0.1530783475
513	0.1526385817
514	0.1522157783
515	0.1519509049
516	0.1517064643
517	0.1514610567
518	0.1510489819
519	0.1508013099
520	0.1502963871
521	0.1499231748
522	0.1495035916
523	0.1490379277
524	0.1486650967
525	0.1484058529
526	0.1479989989
527	0.1479822745
528	0.1477536777
529	0.1473392322
530	0.1469467126
531	0.146794676
532	0.1466419191
533	0.1462059434
534	0.145818353
535	0.1453175783
536	0.1450569786
537	0.1448705645
538	0.1445617509
539	0.1443099532
540	0.1440084635
541	0.1436842804
542	0.1433460379
543	0.1430398145
544	0.1427106885
545	0.1422424604
546	0.1418489821
547	0.1415730467
548	0.1411915901
549	0.1408569073
550	0.1406493561
551	0.1402443062
552	0.1399251214
553	0.1394962514
554	0.1392817239
555	0.1388487559
556	0.1385103546
557	0.1382175509
558	0.1378230236
559	0.1375156552
560	0.1370389276
561	0.1367542087
562	0.1363353294
563	0.1360098136
564	0.1358008546
565	0.1354604596
566	0.1351582712
567	0.1349073249
568	0.1346612354
569	0.1344809623
570	0.1343388414
571	0.1340983949
572	0.1338717169
573	0.1336139335
574	0.1332770442
575	0.1331070822
576	0.1329283721
577	0.1326941478
578	0.132538685
579	0.1322963489
580	0.1321162128
581	0.1317826454
582	0.1314784053
583	0.1313019068
584	0.1311533242
585	0.1308071406
586	0.1306337509
587	0.1304340141
588	0.13018963
589	0.129999328
590	0.1296844049
591	0.1295265791
592	0.1292834314
593	0.12906364
594	0.1287083904
595	0.1285041784
596	0.1281426241
597	0.1279128323
598	0.1277649316
599	0.1274108055
600	0.127128925
601	0.1268149641
602	0.1264444122
603	0.126179526
604	0.1257758236
605	0.1255103577
606	0.1253251382
607	0.1250975034
608	0.1248458079
609	0.1246814122
610	0.1242889257
611	0.1240110837
612	0.1237232719
613	0.1232776671
614	0.1230503039
615	0.1226627482
616	0.1223679982
617	0.1223277022
618	0.1221296538
619	0.1217287028
620	0.1214623136
621	0.1211347679
622	0.1208217426
623	0.1206297717
624	0.1202870003
625	0.1199068804
626	0.1194932076
627	0.1192876957
628	0.119146045
629	0.1189479514
630	0.1187117754
631	0.1185199417
632	0.118354653
633	0.1181501684
634	0.1179434231
635	0.1176732516
636	0.1174849959
637	0.1172853883
638	0.1171259948
639	0.116886676
640	0.1166837112
641	0.1163531941
642	0.1160747985
643	0.1157566167
644	0.1156217553
645	0.1153688239
646	0.1151557673
647	0.1147901338
648	0.1144009009
649	0.1142527297
650	0.1138908328
651	0.1135567405
652	0.113330442
653	0.113127957
654	0.112981621
655	0.1126944808
656	0.1123337209
657	0.1119791506
658	0.1117834874
659	0.111619421
660	0.1114665156
661	0.1112899371
662	0.1110394654
663	0.1108694158
664	0.1104552345
665	0.1101925872
666	0.1099628911
667	0.1096374286
668	0.10950446
669	0.1093690038
670	0.1092025055
671	0.1089044287
672	0.1087370456
673	0.1083881539
674	0.1081661401
675	0.1079334402
676	0.1075237196
677	0.1074195315
678	0.1072161699
679	0.1068189062
680	0.1066215617
681	0.1064586192
682	0.1061171872
683	0.1059601128
684	0.105747985
685	0.1055580658
686	0.1053533966
687	0.1051931327
688	0.1049029763
689	0.104752739
690	0.1045424625
691	0.1044033864
692	0.1039391825
693	0.1035974136
694	0.1034169459
695	0.1033463211
696	0.1031634793
697	0.1030346603
698	0.1028897286
699	0.1027806668
700	0.1024971835
701	0.1023881601
702	0.1022609495
703	0.1021142107
704	0.1020875112
705	0.1018723944
706	0.1016243328
707	0.1015068053
708	0.1013144083
709	0.1011968558
710	0.1010766004
711	0.1009284604
712	0.1007538987
713	0.1006602816
714	0.100509244
715	0.1003785326
716	0.1001642675
717	0.100018177
718	0.09968645542
719	0.0996538034
720	0.0994944564
721	0.09923455117
722	0.0989249498
723	0.09878119557
724	0.09853239343
725	0.09851147576
726	0.0983772486
727	0.09835715763
728	0.09814490969
729	0.09799729249
730	0.09797862813
731	0.09777831912
732	0.09751155232
733	0.09749214837
734	0.09731681934
735	0.09709170337
736	0.097010424
737	0.09688245659
738	0.09664299411
739	0.09651670314
740	0.09640124554
741	0.09619728387
742	0.09607147941
743	0.09585602214
744	0.09555899259
745	0.09538419711
746	0.09507396497
747	0.09487379678
748	0.09477673677
749	0.09474879251
750	0.09450277936
751	0.09437051495
752	0.09423032892
753	0.094102392
754	0.09398528312
755	0.09397044329
756	0.09376201599
757	0.09368075203
758	0.09347744823
759	0.09321387184
760	0.09298538423
761	0.09277329238
762	0.09258008819
763	0.0923839465
764	0.09217951963
765	0.09205139963
766	0.09176706599
767	0.09161444252
768	0.09144090485
769	0.09142680974
770	0.0912447316
771	0.09109526908
772	0.09087368833
773	0.09076389231
774	0.0905403149
775	0.09034493761
776	0.09021758276
777	0.09004613129
778	0.08982378495
779	0.08961665937
780	0.0895898435
781	0.08934133716
782	0.08925941915
783	0.0892494157
784	0.08914052304
785	0.08898767704
786	0.08898270579
787	0.08887937241
788	0.08868912994
789	0.08844508466
790	0.08824573797
791	0.08803354734
792	0.0878863703
793	0.08759170542
794	0.08750170901
795	0.08721903985
796	0.08715989781
797	0.08698936717
798	0.08686599397
799	0.08666813242
800	0.08647801609
801	0.08623281339
802	0.08602752768
803	0.08587145896
804	0.08567599177
805	0.08539929408
806	0.08517478138
807	0.08505993287
808	0.08487989669
809	0.08474630042
810	0.08461721573
811	0.08435723763
812	0.08412344772
813	0.08391398347
814	0.08368963589
815	0.08358252953
816	0.08339122432
817	0.08325537692
818	0.08301524706
819	0.08287062737
820	0.08280100391
821	0.08261718666
822	0.08236921648
823	0.0822600222
824	0.08213841592
825	0.08202374982
826	0.08191913647
827	0.08168991125
828	0.08141440742
829	0.08114442157
830	0.08096662082
831	0.08075600931
832	0.08064590063
833	0.08051181425
834	0.08041989547
835	0.08041697912
836	0.08019403913
837	0.08005599951
838	0.0798653648
839	0.07974431215
840	0.07955217515
841	0.07941053513
842	0.07920095041
843	0.07897045462
844	0.07875118551
845	0.07865817771
846	0.07852988535
847	0.07839314187
848	0.07829021263
849	0.07821356613
850	0.07799572756
851	0.07784764542
852	0.07767722842
853	0.07749402662
854	0.07720265464
855	0.07709542301
856	0.07700191514
857	0.07683470412
858	0.07677216228
859	0.07667825921
860	0.07651083627
861	0.07636614795
862	0.07617312776
863	0.07610091103
864	0.07595919611
865	0.07565670696
866	0.07542891366
867	0.07532350035
868	0.07524153117
869	0.07502247048
870	0.07483661357
871	0.0746828211
872	0.074597576
873	0.0744304561
874	0.07424487433
875	0.07415440076
876	0.0739813894
877	0.0738867138
878	0.07373806863
879	0.07358762449
880	0.07338437404
881	0.07326492558
882	0.07314630487
883	0.07308758947
884	0.07304134665
885	0.07285080307
886	0.07269332691
887	0.07256082252
888	0.07240744896
889	0.07225657822
890	0.07204364498
891	0.07188100489
892	0.07168854115
893	0.07157172396
894	0.07146740827
895	0.07145730157
896	0.071256084
897	0.07116135662
898	0.07103341361
899	0.0708237017
900	0.07080020857
901	0.07064301336
902	0.0705604731
903	0.07045062022
904	0.07040918764
905	0.07023842579
906	0.07017193959
907	0.06995281398
908	0.06995013024
909	0.06988887426
910	0.06969994237
911	0.06948954804
912	0.06935464652
913	0.06922452214
914	0.06911863538
915	0.06902392074
916	0.06892522919
917	0.06882612997
918	0.06875254597
919	0.06868230911
920	0.06860367421
921	0.0684802298
922	0.06840823637
923	0.06827734577
924	0.06813430932
925	0.06795063378
926	0.06779774309
927	0.06767538884
928	0.06748222655
929	0.06743269537
930	0.06726055847
931	0.06713072036
932	0.06701636209
933	0.06688320606
934	0.06673739436
935	0.06668507319
936	0.06647537597
937	0.06630081938
938	0.06614670339
939	0.06596315646
940	0.06586068835
941	0.06571654615
942	0.06548850389
943	0.06532596488
944	0.06516855952
945	0.0650400591
946	0.06497774561
947	0.06485514889
948	0.06480321233
949	0.0645630701
950	0.0644045068
951	0.06420480359
952	0.06407385283
953	0.0639382272
954	0.06377723751
955	0.06371490399
956	0.06359823802
957	0.0634688919
958	0.06334293871
959	0.06324801535
960	0.0631443502
961	0.06306660047
962	0.06293936752
963	0.06276399558
964	0.06260752274
965	0.06252512746
966	0.06241956291
967	0.0622716498
968	0.06222269297
969	0.06207914814
970	0.06185790875
971	0.06173279933
972	0.06164782385
973	0.06151474677
974	0.06136484989
975	0.06125458993
976	0.06110445836
977	0.06104431655
978	0.0609045006
979	0.06083474973
980	0.06076926997
981	0.06059263426
982	0.06053233599
983	0.06044637642
984	0.06025924556
985	0.06014018133
986	0.06007558343
987	0.06002606709
988	0.05986852808
989	0.05971517703
990	0.05961573559
991	0.05948237626
992	0.05939568141
993	0.05930704119
994	0.05917008279
995	0.05902944225
996	0.05889254938
997	0.05879715108
998	0.05875201445
999	0.05864150393
