iter	Passed	Remaining
258	662	1896
259	665	1892
260	666	1888
261	668	1883
262	670	1878
263	671	1873
264	673	1868
265	675	1864
266	678	1861
267	679	1856
268	681	1852
269	683	1847
270	684	1842
271	686	1837
272	688	1832
273	689	1828
274	692	1825
275	694	1821
276	696	1817
277	697	1812
278	699	1807
279	701	1802
280	702	1797
281	704	1793
282	706	1789
283	708	1787
284	710	1783
285	712	1778
286	714	1774
287	715	1769
288	717	1765
289	719	1760
290	720	1756
291	724	1755
292	726	1752
293	727	1747
294	729	1743
295	731	1738
296	732	1734
297	734	1729
298	736	1725
299	738	1723
300	740	1720
301	742	1716
302	744	1712
303	746	1708
304	747	1703
305	749	1699
306	751	1695
307	753	1692
308	755	1690
309	757	1686
310	759	1682
311	761	1678
312	762	1674
313	764	1669
314	766	1665
315	768	1664
316	772	1663
317	774	1660
318	776	1657
319	777	1653
320	779	1648
321	781	1644
322	783	1641
323	785	1639
324	788	1636
325	789	1632
326	791	1628
327	792	1624
328	794	1620
329	796	1616
330	798	1613
331	800	1611
332	803	1608
333	804	1604
334	806	1600
335	808	1596
336	809	1593
337	811	1589
338	813	1585
339	815	1583
340	818	1581
341	820	1577
342	821	1573
343	823	1569
344	824	1565
345	826	1562
346	828	1558
347	830	1555
348	832	1553
349	834	1549
350	836	1546
351	838	1542
352	839	1539
353	841	1535
354	843	1531
355	845	1529
356	848	1527
357	849	1524
358	851	1520
359	853	1516
360	854	1513
361	856	1509
362	858	1505
363	860	1503
364	863	1501
365	865	1498
366	866	1494
367	868	1491
368	870	1487
369	871	1484
370	873	1480
371	875	1477
372	877	1475
373	880	1473
374	881	1469
375	883	1466
376	885	1462
377	887	1459
378	889	1457
379	891	1455
380	894	1453
381	897	1451
382	899	1448
383	900	1444
384	902	1441
385	904	1438
386	906	1435
387	908	1432
388	910	1429
389	913	1429
390	916	1427
391	919	1426
392	921	1423
393	925	1424
394	929	1424
395	931	1421
396	933	1418
397	935	1414
398	937	1412
399	941	1412
400	945	1412
401	947	1408
402	948	1405
403	950	1401
404	951	1398
405	955	1397
406	958	1396
407	961	1394
408	962	1391
409	964	1387
410	965	1384
411	967	1381
412	971	1381
413	978	1384
414	981	1383
415	988	1387
416	995	1391
417	997	1389
418	1000	1387
419	1006	1390
420	1010	1390
421	1012	1387
422	1015	1385
423	1020	1386
424	1024	1386
425	1026	1383
426	1028	1380
427	1030	1376
428	1032	1374
429	1036	1374
430	1040	1373
431	1042	1370
432	1044	1367
433	1046	1365
434	1050	1364
435	1053	1363
436	1056	1360
437	1058	1357
438	1059	1354
439	1061	1350
440	1064	1349
441	1067	1347
442	1070	1345
443	1072	1342
444	1073	1339
445	1075	1335
446	1079	1334
447	1083	1334
448	1085	1332
449	1087	1328
